age,device,Date,count,sum
18-24,android,2014-03-01,13,31.0
18-24,android,2014-03-02,5,69.0
18-24,android,2014-03-03,6,40.0
18-24,android,2014-03-04,7,49.0
18-24,android,2014-03-05,5,113.0
18-24,android,2014-03-06,2,1.0
18-24,android,2014-03-07,8,116.0
18-24,android,2014-03-08,9,0.0
18-24,android,2014-03-09,1,27.0
18-24,android,2014-03-10,9,105.0
18-24,android,2014-03-11,4,45.0
18-24,android,2014-03-12,6,200.0
18-24,android,2014-03-13,11,142.0
18-24,android,2014-03-14,4,85.0
18-24,android,2014-03-15,3,112.0
18-24,android,2014-03-16,3,0.0
18-24,android,2014-03-17,4,57.0
18-24,android,2014-03-18,5,48.0
18-24,android,2014-03-19,5,93.0
18-24,android,2014-03-20,5,177.0
18-24,android,2014-03-21,3,67.0
18-24,android,2014-03-22,7,88.0
18-24,android,2014-03-23,1,57.0
18-24,android,2014-03-24,5,145.0
18-24,android,2014-03-25,2,48.0
18-24,android,2014-03-26,5,76.0
18-24,android,2014-03-27,1,0.0
18-24,android,2014-03-28,4,99.0
18-24,android,2014-03-29,4,54.0
18-24,android,2014-03-30,6,130.0
18-24,android,2014-03-31,2,67.0
18-24,iOS,2014-03-01,10,64.0
18-24,iOS,2014-03-02,8,37.0
18-24,iOS,2014-03-03,6,70.0
18-24,iOS,2014-03-04,10,170.0
18-24,iOS,2014-03-05,6,0.0
18-24,iOS,2014-03-06,8,132.0
18-24,iOS,2014-03-07,6,31.0
18-24,iOS,2014-03-08,2,40.0
18-24,iOS,2014-03-09,6,109.0
18-24,iOS,2014-03-10,9,134.0
18-24,iOS,2014-03-11,6,111.0
18-24,iOS,2014-03-12,3,74.0
18-24,iOS,2014-03-13,9,152.0
18-24,iOS,2014-03-14,3,110.0
18-24,iOS,2014-03-15,2,63.0
18-24,iOS,2014-03-16,5,61.0
18-24,iOS,2014-03-17,4,51.0
18-24,iOS,2014-03-18,1,52.0
18-24,iOS,2014-03-19,2,67.0
18-24,iOS,2014-03-20,3,90.0
18-24,iOS,2014-03-22,7,128.0
18-24,iOS,2014-03-23,5,45.0
18-24,iOS,2014-03-24,2,4.0
18-24,iOS,2014-03-26,3,107.0
18-24,iOS,2014-03-27,4,89.0
18-24,iOS,2014-03-28,4,190.0
18-24,iOS,2014-03-29,1,35.0
18-24,iOS,2014-03-30,1,0.0
18-24,iOS,2014-03-31,5,146.0
25-34,android,2014-03-01,9,110.0
25-34,android,2014-03-02,4,0.0
25-34,android,2014-03-03,4,39.0
25-34,android,2014-03-04,7,41.0
25-34,android,2014-03-05,3,84.0
25-34,android,2014-03-06,6,16.0
25-34,android,2014-03-07,2,0.0
25-34,android,2014-03-08,1,0.0
25-34,android,2014-03-09,4,86.0
25-34,android,2014-03-10,5,113.0
25-34,android,2014-03-11,6,80.0
25-34,android,2014-03-12,3,40.0
25-34,android,2014-03-13,1,0.0
25-34,android,2014-03-14,2,0.0
25-34,android,2014-03-15,1,0.0
25-34,android,2014-03-16,4,21.0
25-34,android,2014-03-17,3,38.0
25-34,android,2014-03-18,4,42.0
25-34,android,2014-03-19,2,39.0
25-34,android,2014-03-20,3,0.0
25-34,android,2014-03-21,5,118.0
25-34,android,2014-03-22,2,0.0
25-34,android,2014-03-23,3,92.0
25-34,android,2014-03-24,4,83.0
25-34,android,2014-03-25,3,52.0
25-34,android,2014-03-26,2,53.0
25-34,android,2014-03-27,3,85.0
25-34,android,2014-03-28,2,0.0
25-34,android,2014-03-29,3,32.0
25-34,android,2014-03-30,1,0.0
25-34,android,2014-03-31,5,112.0
25-34,iOS,2014-03-01,12,31.0
25-34,iOS,2014-03-02,15,89.0
25-34,iOS,2014-03-03,14,103.0
25-34,iOS,2014-03-04,8,95.0
25-34,iOS,2014-03-05,10,188.0
25-34,iOS,2014-03-06,7,183.0
25-34,iOS,2014-03-07,7,0.0
25-34,iOS,2014-03-08,5,83.0
25-34,iOS,2014-03-09,4,146.0
25-34,iOS,2014-03-10,11,243.0
25-34,iOS,2014-03-11,9,103.0
25-34,iOS,2014-03-12,5,154.0
25-34,iOS,2014-03-13,12,198.0
25-34,iOS,2014-03-14,3,75.0
25-34,iOS,2014-03-15,6,117.0
25-34,iOS,2014-03-16,4,141.0
25-34,iOS,2014-03-17,3,93.0
25-34,iOS,2014-03-18,5,0.0
25-34,iOS,2014-03-19,9,208.0
25-34,iOS,2014-03-20,7,158.0
25-34,iOS,2014-03-21,3,50.0
25-34,iOS,2014-03-22,7,79.0
25-34,iOS,2014-03-23,5,85.0
25-34,iOS,2014-03-24,5,86.0
25-34,iOS,2014-03-25,3,72.0
25-34,iOS,2014-03-26,4,31.0
25-34,iOS,2014-03-27,2,63.0
25-34,iOS,2014-03-28,3,24.0
25-34,iOS,2014-03-29,4,97.0
25-34,iOS,2014-03-30,2,46.0
25-34,iOS,2014-03-31,3,95.0
35-44,android,2014-03-01,7,33.0
35-44,android,2014-03-02,7,49.0
35-44,android,2014-03-03,8,123.0
35-44,android,2014-03-04,4,24.0
35-44,android,2014-03-05,4,11.0
35-44,android,2014-03-06,4,0.0
35-44,android,2014-03-07,3,44.0
35-44,android,2014-03-08,4,27.0
35-44,android,2014-03-09,3,40.0
35-44,android,2014-03-10,5,81.0
35-44,android,2014-03-11,3,53.0
35-44,android,2014-03-12,6,73.0
35-44,android,2014-03-13,2,56.0
35-44,android,2014-03-14,3,48.0
35-44,android,2014-03-15,2,0.0
35-44,android,2014-03-16,1,0.0
35-44,android,2014-03-17,3,83.0
35-44,android,2014-03-18,3,0.0
35-44,android,2014-03-19,4,76.0
35-44,android,2014-03-20,2,0.0
35-44,android,2014-03-21,2,92.0
35-44,android,2014-03-22,2,64.0
35-44,android,2014-03-23,4,63.0
35-44,android,2014-03-24,1,64.0
35-44,android,2014-03-25,3,120.0
35-44,android,2014-03-27,5,155.0
35-44,android,2014-03-28,1,0.0
35-44,android,2014-03-29,1,0.0
35-44,android,2014-03-30,1,0.0
35-44,android,2014-03-31,1,40.0
35-44,iOS,2014-03-01,5,24.0
35-44,iOS,2014-03-02,4,0.0
35-44,iOS,2014-03-03,3,0.0
35-44,iOS,2014-03-04,8,137.0
35-44,iOS,2014-03-05,1,51.0
35-44,iOS,2014-03-06,4,75.0
35-44,iOS,2014-03-07,3,108.0
35-44,iOS,2014-03-09,1,0.0
35-44,iOS,2014-03-11,2,45.0
35-44,iOS,2014-03-13,1,26.0
35-44,iOS,2014-03-14,3,0.0
35-44,iOS,2014-03-15,2,0.0
35-44,iOS,2014-03-16,2,94.0
35-44,iOS,2014-03-17,3,51.0
35-44,iOS,2014-03-18,1,0.0
35-44,iOS,2014-03-19,1,0.0
35-44,iOS,2014-03-20,2,32.0
35-44,iOS,2014-03-21,1,0.0
35-44,iOS,2014-03-22,3,0.0
35-44,iOS,2014-03-23,1,0.0
35-44,iOS,2014-03-24,1,0.0
35-44,iOS,2014-03-25,3,64.0
35-44,iOS,2014-03-26,2,46.0
35-44,iOS,2014-03-27,3,100.0
35-44,iOS,2014-03-28,1,39.0
35-44,iOS,2014-03-29,3,52.0
35-44,iOS,2014-03-30,1,0.0
45-54,android,2014-03-01,16,133.0
45-54,android,2014-03-02,12,73.0
45-54,android,2014-03-03,6,140.0
45-54,android,2014-03-04,8,81.0
45-54,android,2014-03-05,8,35.0
45-54,android,2014-03-06,7,95.0
45-54,android,2014-03-07,6,90.0
45-54,android,2014-03-08,4,38.0
45-54,android,2014-03-09,5,112.0
45-54,android,2014-03-10,4,81.0
45-54,android,2014-03-11,3,24.0
45-54,android,2014-03-12,9,115.0
45-54,android,2014-03-13,6,94.0
45-54,android,2014-03-14,6,52.0
45-54,android,2014-03-15,11,192.0
45-54,android,2014-03-16,5,40.0
45-54,android,2014-03-17,3,69.0
45-54,android,2014-03-18,4,96.0
45-54,android,2014-03-19,1,40.0
45-54,android,2014-03-20,5,99.0
45-54,android,2014-03-21,4,60.0
45-54,android,2014-03-22,3,70.0
45-54,android,2014-03-23,5,67.0
45-54,android,2014-03-24,9,155.0
45-54,android,2014-03-25,4,101.0
45-54,android,2014-03-26,5,161.0
45-54,android,2014-03-27,5,60.0
45-54,android,2014-03-28,4,0.0
45-54,android,2014-03-29,3,58.0
45-54,android,2014-03-30,3,41.0
45-54,android,2014-03-31,3,106.0
45-54,iOS,2014-03-01,7,34.0
45-54,iOS,2014-03-02,3,26.0
45-54,iOS,2014-03-03,10,44.0
45-54,iOS,2014-03-04,7,33.0
45-54,iOS,2014-03-05,4,0.0
